,luciana_01,luciana_02,luciana_03,luciana_04,luciana_05,luciana_06,luciana_07,luciana_08,luciana_09,luciana_10,luciana_11,luciana_12,luciana_13,luciana_14,luciana_15,luciana_16,luciana_17,luciana_18,luciana_19,luciana_27,luciana_28,luciana_32,luciana_34,luciana_35
luciana_15,0.6774369755691292,0.6412109803019906,0.6196401492670449,0.6897519915024778,0.9339695530465568,0.9421780911238804,0.9230500930819764,0.920197119451379,0.9303417138506852,0.9276292309149046,0.915260756139424,0.6404270407602359,0.6821314992138471,0.6945915233346531,0.0,0.6453904934979816,0.8823159005954273,0.9118481690370244,0.9084998551983782,0.7699744561193408,0.8017913048212779,0.8108536097629523,0.7325562316035509,0.7852933914026463
luciana_16,0.7551242143549176,0.7979422987189909,0.7705714760918353,0.7549369993777012,0.9521795416858622,0.9577217298517259,0.9416732714488936,0.942143074400046,0.93908122188018,0.9347951607350521,0.9305751770082824,0.7957684855573417,0.7558250969435051,0.7743531240772616,0.6453904934979816,0.0,0.8713813208231731,0.8991005798292472,0.8955951053409268,0.8419704155557662,0.8298339322454155,0.8294510849772259,0.8203607082110279,0.8511212428795669
luciana_17,0.7272748533756727,0.8446087590182109,0.7992280225872492,0.7321414178051827,0.9736051764973771,0.9749818574924802,0.9695878021577715,0.9697025267197743,0.9619098672779031,0.9565063176853733,0.9576326291809207,0.8446676744412062,0.760436089900279,0.8946322933990881,0.8823159005954273,0.8713813208231731,0.0,0.7130284054930506,0.7128569787339537,0.8235220757749059,0.7270963727535595,0.7865479742271548,0.7510691615890501,0.7902161209357577
luciana_18,0.7822842992862576,0.8797477982666981,0.8482192330395121,0.7976406557274297,0.9747312687016115,0.9763211598793823,0.971887230060849,0.9715190379479635,0.9621428232502965,0.9577073508652068,0.9597489653805169,0.8763528041889604,0.8024431875230095,0.9186935528978235,0.9118481690370244,0.8991005798292472,0.7130284054930506,0.0,0.7222427880166055,0.8534144509483926,0.773561059401032,0.8315229198348902,0.8005330377876293,0.8330701791348878
luciana_19,0.7848430587739625,0.872532399559051,0.8439546944336885,0.7947599256010471,0.9723544541538056,0.973204368752314,0.9687070118950615,0.9685519181549612,0.9575901312339876,0.9516022660803382,0.9554840030182408,0.8721353185073502,0.8047692263949976,0.9151757790613572,0.9084998551983782,0.8955951053409268,0.7128569787339537,0.7222427880166055,0.0,0.8433948729565447,0.7570397747272087,0.8180153476270461,0.7938906901581967,0.8191268846505381
luciana_27,0.5591389670647295,0.5633506814184938,0.5590518228405834,0.564477682413239,0.9377025492826917,0.9419864002745558,0.9266034919966792,0.919726633323424,0.9246511687804375,0.9223101388565665,0.9114676484557857,0.5485049478942832,0.5273742990566569,0.7934961013921162,0.7699744561193408,0.8419704155557662,0.8235220757749059,0.8534144509483926,0.8433948729565447,0.0,0.6690401908076201,0.7777091615526136,0.5998780473803786,0.635717908435285
luciana_28,0.5490396379949894,0.6973452603375045,0.6421281239159415,0.5593550259822307,0.9436670836315809,0.9467194748467388,0.9344126269675377,0.9304935807878832,0.9233127143055123,0.9142843471372291,0.9148050987799999,0.6958490412657121,0.5791604276359659,0.8372123426279124,0.8017913048212779,0.8298339322454155,0.7270963727535595,0.773561059401032,0.7570397747272087,0.6690401908076201,0.0,0.7186699484935503,0.5875163433674601,0.6357776369682284
luciana_32,0.7160794989638217,0.7880322730577173,0.7498221674663105,0.7296812559200534,0.9679742425304957,0.9687483513352865,0.9635688287137989,0.9632598509485519,0.9546662465825222,0.9550091103319724,0.9523384653171295,0.7893368377346626,0.7487723528363687,0.8397771981944022,0.8108536097629523,0.8294510849772259,0.7865479742271548,0.8315229198348902,0.8180153476270461,0.7777091615526136,0.7186699484935503,0.0,0.7141351441896882,0.7585683878710239
luciana_34,0.4488282047398608,0.5778446515821846,0.5089494209476693,0.4788718983256002,0.9378890616644875,0.9428724383048528,0.927744603162549,0.9235478405891144,0.922047886516055,0.9132423358886715,0.9099969400591589,0.5709036598912919,0.49241867874032536,0.7908367884602345,0.7325562316035509,0.8203607082110279,0.7510691615890501,0.8005330377876293,0.7938906901581967,0.5998780473803786,0.5875163433674601,0.7141351441896882,0.0,0.5856511096427305
luciana_35,0.5529961720019686,0.6371336001183056,0.5958518232239928,0.5598692136673581,0.9349501240677147,0.9372939121167839,0.9255199979923298,0.9206039825641137,0.9158076124637725,0.9080428726180656,0.9055763418165538,0.6272550841277496,0.5658668200387377,0.8283747759956492,0.7852933914026463,0.8511212428795669,0.7902161209357577,0.8330701791348878,0.8191268846505381,0.635717908435285,0.6357776369682284,0.7585683878710239,0.5856511096427305,0.0
